x,y,z,q,words
-6.461538461538462,25.0,,-6.788944723618091,
3.76923076923077,25.0,0.0,-6.788944723618091,Matilde
-2.153846153846154,25.0,0.0,-6.788944723618091,Matilde
-0.5384615384615383,25.0,0.0,-6.788944723618091,Matilde
-4.846153846153847,25.0,0.0,-6.788944723618091,Matilde
-4.3076923076923075,25.0,0.0,-6.788944723618091,Matilde
6.461538461538462,15.0,0.0,-6.85929648241206,Matilde
-4.3076923076923075,15.0,0.0,-6.85929648241206,years
-6.461538461538462,15.0,0.0,-6.85929648241206,years
2.6923076923076916,15.0,0.0,-6.85929648241206,years
3.23076923076923,15.0,0.0,-6.85929648241206,years
1.0769230769230766,0.0,0.0,-6.964824120603015,years
2.6923076923076916,0.0,0.0,-6.964824120603015,or
-4.846153846153847,10.0,0.0,-6.894472361809045,or
-6.461538461538462,10.0,0.0,-6.894472361809045,days
6.461538461538462,10.0,0.0,-6.894472361809045,days
3.23076923076923,10.0,0.0,-6.894472361809045,days
3.23076923076923,30.0,0.0,-6.7537688442211055,days
-0.5384615384615383,30.0,0.0,-6.7537688442211055,sleeping
-4.3076923076923075,30.0,0.0,-6.7537688442211055,sleeping
-4.3076923076923075,30.0,0.0,-6.7537688442211055,sleeping
1.615384615384615,30.0,0.0,-6.7537688442211055,sleeping
-2.153846153846154,30.0,0.0,-6.7537688442211055,sleeping
0.5384615384615383,30.0,0.0,-6.7537688442211055,sleeping
-3.230769230769231,30.0,0.0,-6.7537688442211055,sleeping
-3.769230769230769,30.0,0.0,-6.7537688442211055,sleeping
-4.3076923076923075,30.0,0.0,-6.7537688442211055,feverish
4.846153846153847,30.0,0.0,-6.7537688442211055,feverish
-4.3076923076923075,30.0,0.0,-6.7537688442211055,feverish
2.6923076923076916,30.0,0.0,-6.7537688442211055,feverish
-2.153846153846154,30.0,0.0,-6.7537688442211055,feverish
3.23076923076923,30.0,0.0,-6.7537688442211055,feverish
-2.6923076923076925,30.0,0.0,-6.7537688442211055,feverish
-2.6923076923076925,10.0,0.0,-6.894472361809045,feverish
-4.3076923076923075,10.0,0.0,-6.894472361809045,here
2.6923076923076916,10.0,0.0,-6.894472361809045,here
-4.3076923076923075,10.0,0.0,-6.894472361809045,here
1.0769230769230766,0.0,0.0,-6.964824120603015,here
2.6923076923076916,0.0,0.0,-6.964824120603015,or
3.76923076923077,15.0,0.0,-6.85929648241206,or
-2.6923076923076925,15.0,0.0,-6.85929648241206,there
-4.3076923076923075,15.0,0.0,-6.85929648241206,there
2.6923076923076916,15.0,0.0,-6.85929648241206,there
-4.3076923076923075,15.0,0.0,-6.85929648241206,there
-3.230769230769231,20.0,0.0,-6.824120603015075,there
-6.461538461538462,20.0,0.0,-6.824120603015075,gazing
7.0,20.0,0.0,-6.824120603015075,gazing
-2.153846153846154,20.0,0.0,-6.824120603015075,gazing
0.5384615384615383,20.0,0.0,-6.824120603015075,gazing
-3.230769230769231,20.0,0.0,-6.824120603015075,gazing
1.0769230769230766,5.0,0.0,-6.9296482412060305,gazing
-3.769230769230769,5.0,0.0,-6.9296482412060305,off
-3.769230769230769,5.0,0.0,-6.9296482412060305,off
3.76923076923077,30.0,0.0,-6.7537688442211055,off
5.384615384615385,30.0,0.0,-6.7537688442211055,twisting
-2.153846153846154,30.0,0.0,-6.7537688442211055,twisting
3.23076923076923,30.0,0.0,-6.7537688442211055,twisting
3.76923076923077,30.0,0.0,-6.7537688442211055,twisting
-2.153846153846154,30.0,0.0,-6.7537688442211055,twisting
0.5384615384615383,30.0,0.0,-6.7537688442211055,twisting
-3.230769230769231,30.0,0.0,-6.7537688442211055,twisting
0.0,0.0,0.0,-6.964824120603015,twisting
6.461538461538462,0.0,0.0,-6.964824120603015,my
3.23076923076923,15.0,0.0,-6.85929648241206,my
1.615384615384615,15.0,0.0,-6.85929648241206,spine
-2.153846153846154,15.0,0.0,-6.85929648241206,spine
0.5384615384615383,15.0,0.0,-6.85929648241206,spine
-4.3076923076923075,15.0,0.0,-6.85929648241206,spine
-5.923076923076923,30.0,0.0,-6.7537688442211055,spine
-0.5384615384615383,30.0,0.0,-6.7537688442211055,bleeding
-4.3076923076923075,30.0,0.0,-6.7537688442211055,bleeding
-4.3076923076923075,30.0,0.0,-6.7537688442211055,bleeding
-4.846153846153847,30.0,0.0,-6.7537688442211055,bleeding
-2.153846153846154,30.0,0.0,-6.7537688442211055,bleeding
0.5384615384615383,30.0,0.0,-6.7537688442211055,bleeding
-3.230769230769231,30.0,0.0,-6.7537688442211055,bleeding
3.76923076923077,10.0,0.0,-6.894472361809045,bleeding
2.6923076923076916,10.0,4.0,-6.894472361809045,true
4.307692307692308,10.0,4.0,-6.894472361809045,true
-4.3076923076923075,10.0,4.0,-6.894472361809045,true
-5.923076923076923,15.0,4.0,-6.85929648241206,true
-0.5384615384615383,15.0,0.0,-6.85929648241206,blood
1.0769230769230766,15.0,0.0,-6.85929648241206,blood
1.0769230769230766,15.0,0.0,-6.85929648241206,blood
-4.846153846153847,15.0,0.0,-6.85929648241206,blood
1.615384615384615,25.0,0.0,-6.788944723618091,blood
-4.3076923076923075,25.0,0.0,-6.788944723618091,perhaps
2.6923076923076916,25.0,0.0,-6.788944723618091,perhaps
-2.6923076923076925,25.0,0.0,-6.788944723618091,perhaps
-6.461538461538462,25.0,0.0,-6.788944723618091,perhaps
1.615384615384615,25.0,0.0,-6.788944723618091,perhaps
3.23076923076923,25.0,0.0,-6.788944723618091,perhaps
-6.461538461538462,20.0,0.0,-6.824120603015075,perhaps
5.384615384615385,20.0,,-6.824120603015075,
-6.461538461538462,20.0,0.0,-6.824120603015075,awaken
-1.0769230769230766,20.0,0.0,-6.824120603015075,awaken
-4.3076923076923075,20.0,0.0,-6.824120603015075,awaken
0.5384615384615383,20.0,0.0,-6.824120603015075,awaken
1.0769230769230766,0.0,0.0,-6.964824120603015,awaken
2.6923076923076916,0.0,0.0,-6.964824120603015,awaken
-6.461538461538462,0.0,0.0,-6.964824120603015,or
0.0,0.0,0.0,-6.964824120603015,or
-0.5384615384615383,10.0,0.0,-6.894472361809045,am
1.0769230769230766,10.0,0.0,-6.894472361809045,am
3.23076923076923,10.0,-6.0,-6.894472361809045,lost
3.76923076923077,10.0,-6.0,-6.894472361809045,lost
3.23076923076923,30.0,-6.0,-6.7537688442211055,lost
-0.5384615384615383,30.0,-6.0,-6.7537688442211055,lost
-4.3076923076923075,30.0,0.0,-6.7537688442211055,sleeping
-4.3076923076923075,30.0,0.0,-6.7537688442211055,sleeping
1.615384615384615,30.0,0.0,-6.7537688442211055,sleeping
-2.153846153846154,30.0,0.0,-6.7537688442211055,sleeping
0.5384615384615383,30.0,0.0,-6.7537688442211055,sleeping
-3.230769230769231,30.0,0.0,-6.7537688442211055,sleeping
-2.6923076923076925,30.0,0.0,-6.7537688442211055,sleeping
1.0769230769230766,30.0,0.0,-6.7537688442211055,sleeping
3.23076923076923,30.0,0.0,-6.7537688442211055,hospital
1.615384615384615,30.0,0.0,-6.7537688442211055,hospital
-2.153846153846154,30.0,0.0,-6.7537688442211055,hospital
3.76923076923077,30.0,0.0,-6.7537688442211055,hospital
-6.461538461538462,30.0,0.0,-6.7537688442211055,hospital
-0.5384615384615383,30.0,0.0,-6.7537688442211055,hospital
-5.923076923076923,10.0,0.0,-6.894472361809045,hospital
-4.3076923076923075,10.0,0.0,-6.894472361809045,hospital
-4.846153846153847,10.0,0.0,-6.894472361809045,beds
3.23076923076923,10.0,0.0,-6.894472361809045,beds
-3.769230769230769,25.0,0.0,-6.788944723618091,beds
1.0769230769230766,25.0,0.0,-6.788944723618091,beds
2.6923076923076916,25.0,0.0,-6.788944723618091,foreign
-4.3076923076923075,25.0,0.0,-6.788944723618091,foreign
-2.153846153846154,25.0,0.0,-6.788944723618091,foreign
-3.230769230769231,25.0,0.0,-6.788944723618091,foreign
0.5384615384615383,25.0,0.0,-6.788944723618091,foreign
5.384615384615385,25.0,0.0,-6.788944723618091,foreign
-2.153846153846154,25.0,0.0,-6.788944723618091,foreign
0.5384615384615383,25.0,0.0,-6.788944723618091,windows
-4.846153846153847,25.0,0.0,-6.788944723618091,windows
1.0769230769230766,25.0,0.0,-6.788944723618091,windows
5.384615384615385,25.0,0.0,-6.788944723618091,windows
3.23076923076923,25.0,0.0,-6.788944723618091,windows
5.384615384615385,15.0,0.0,-6.85929648241206,windows
-2.6923076923076925,15.0,0.0,-6.85929648241206,windows
-2.153846153846154,15.0,0.0,-6.85929648241206,white
3.76923076923077,15.0,0.0,-6.85929648241206,white
-4.3076923076923075,15.0,0.0,-6.85929648241206,white
4.307692307692308,30.0,0.0,-6.7537688442211055,white
0.5384615384615383,30.0,0.0,-6.7537688442211055,white
-2.153846153846154,30.0,0.0,-6.7537688442211055,uniforms
-3.769230769230769,30.0,0.0,-6.7537688442211055,uniforms
1.0769230769230766,30.0,0.0,-6.7537688442211055,uniforms
2.6923076923076916,30.0,0.0,-6.7537688442211055,uniforms
0.0,30.0,0.0,-6.7537688442211055,uniforms
3.23076923076923,30.0,0.0,-6.7537688442211055,uniforms
1.0769230769230766,0.0,0.0,-6.964824120603015,uniforms
-3.769230769230769,0.0,0.0,-6.964824120603015,uniforms
3.76923076923077,5.0,0.0,-6.9296482412060305,of
-2.6923076923076925,5.0,0.0,-6.9296482412060305,of
-4.3076923076923075,5.0,0.0,-6.9296482412060305,the
3.23076923076923,20.0,0.0,-6.824120603015075,the
-2.153846153846154,20.0,0.0,-6.824120603015075,the
-0.5384615384615383,20.0,0.0,-6.824120603015075,silent
-4.3076923076923075,20.0,0.0,-6.824120603015075,silent
0.5384615384615383,20.0,0.0,-6.824120603015075,silent
3.76923076923077,20.0,0.0,-6.824120603015075,silent
5.384615384615385,25.0,0.0,-6.788944723618091,silent
-6.461538461538462,25.0,0.0,-6.788944723618091,silent
-0.5384615384615383,25.0,0.0,-6.788944723618091,walkers
-1.0769230769230766,25.0,0.0,-6.788944723618091,walkers
-4.3076923076923075,25.0,0.0,-6.788944723618091,walkers
2.6923076923076916,25.0,0.0,-6.788944723618091,walkers
3.23076923076923,25.0,0.0,-6.788944723618091,walkers
3.76923076923077,5.0,0.0,-6.9296482412060305,walkers
-2.6923076923076925,5.0,0.0,-6.9296482412060305,walkers
-4.3076923076923075,5.0,0.0,-6.9296482412060305,the
-5.384615384615385,40.0,0.0,-6.683417085427136,the
-0.5384615384615383,40.0,0.0,-6.683417085427136,the
4.307692307692308,40.0,0.0,-6.683417085427136,clumsiness
0.0,40.0,0.0,-6.683417085427136,clumsiness
3.23076923076923,40.0,0.0,-6.683417085427136,clumsiness
-2.153846153846154,40.0,0.0,-6.683417085427136,clumsiness
0.5384615384615383,40.0,0.0,-6.683417085427136,clumsiness
-4.3076923076923075,40.0,0.0,-6.683417085427136,clumsiness
3.23076923076923,40.0,0.0,-6.683417085427136,clumsiness
3.23076923076923,40.0,0.0,-6.683417085427136,clumsiness
1.0769230769230766,0.0,0.0,-6.964824120603015,clumsiness
-3.769230769230769,0.0,0.0,-6.964824120603015,clumsiness
-3.769230769230769,10.0,0.0,-6.894472361809045,of
-4.3076923076923075,10.0,0.0,-6.894472361809045,of
-4.3076923076923075,10.0,0.0,-6.894472361809045,feet
3.76923076923077,10.0,0.0,-6.894472361809045,feet
0.5384615384615383,5.0,0.0,-6.9296482412060305,feet
-4.846153846153847,5.0,0.0,-6.9296482412060305,feet
3.76923076923077,10.0,,-6.894472361809045,
-2.6923076923076925,10.0,0.0,-6.894472361809045,And
-4.3076923076923075,10.0,0.0,-6.894472361809045,And
0.5384615384615383,10.0,0.0,-6.894472361809045,then
3.76923076923077,15.0,0.0,-6.85929648241206,then
-2.6923076923076925,15.0,0.0,-6.85929648241206,then
-4.3076923076923075,15.0,0.0,-6.85929648241206,then
3.23076923076923,15.0,0.0,-6.85929648241206,these
-4.3076923076923075,15.0,0.0,-6.85929648241206,these
-1.615384615384615,30.0,0.0,-6.7537688442211055,these
1.0769230769230766,30.0,0.0,-6.7537688442211055,these
4.307692307692308,30.0,0.0,-6.7537688442211055,these
2.6923076923076916,30.0,0.0,-6.7537688442211055,journeys
0.5384615384615383,30.0,0.0,-6.7537688442211055,journeys
-4.3076923076923075,30.0,0.0,-6.7537688442211055,journeys
6.461538461538462,30.0,0.0,-6.7537688442211055,journeys
3.23076923076923,30.0,0.0,-6.7537688442211055,journeys
-6.461538461538462,5.0,0.0,-6.9296482412060305,journeys
0.5384615384615383,5.0,0.0,-6.9296482412060305,journeys
-4.846153846153847,5.0,0.0,-6.9296482412060305,journeys
0.0,0.0,0.0,-6.964824120603015,and
6.461538461538462,0.0,0.0,-6.964824120603015,and
3.23076923076923,5.0,0.0,-6.9296482412060305,and
-4.3076923076923075,5.0,0.0,-6.9296482412060305,my
-6.461538461538462,5.0,0.0,-6.9296482412060305,my
1.0769230769230766,0.0,0.0,-6.964824120603015,sea
-3.769230769230769,0.0,0.0,-6.964824120603015,sea
2.6923076923076916,25.0,0.0,-6.788944723618091,sea
